valid_time,lat,lon,number,expver,sp,u10,v10,t2m,tp,Aykırı_Sütun
1969-04-01,36.54,44.31,0,1,906.3131,-0.2722289,0.090153635,12.208150000000046,8.1303045,tp
1969-04-01,36.29,44.56,0,1,909.6781,-0.2349059,0.0560655,12.435450000000003,8.191697,tp
1969-04-01,36.29,44.81,0,1,889.0930999999999,-0.14542836,0.011723459,11.140280000000018,8.734219,tp
1972-04-01,37.04,43.56,0,1,878.23625,-0.18654275,-0.7096926,11.24185,8.150212999999999,tp
1972-04-01,37.04,43.81,0,1,877.01125,-0.15205789,-0.82782614,10.856100000000026,8.296245,tp
1972-04-01,36.54,44.31,0,1,906.36125,-0.5548899,-0.15695822,14.978170000000034,8.831852,tp
1972-04-01,36.54,44.56,0,1,875.12125,-0.5113108,-0.10428488,12.298500000000047,8.704537,tp
1972-05-01,37.29,43.31,0,1,836.58,-0.1031571,-0.24944878,10.891260000000045,8.206481,tp
1976-02-01,37.04,44.06,0,1,878.6781,-0.48141766,-0.9083519,-1.9121999999999844,8.298987,tp
1976-02-01,36.54,44.56,0,1,874.4081,-1.0137663,-0.0004234314,-0.5225599999999986,8.210414,tp
1976-02-01,36.29,44.81,0,1,889.4331,-0.8533659,-0.513546,0.5653300000000172,8.773082,tp
1977-03-01,37.29,44.06,0,1,828.1194,-0.200943,-0.5161757,1.7963000000000306,8.185867,tp
1977-12-01,36.54,44.81,0,1,846.7081,-0.55978966,-0.1029253,0.10244000000000142,8.538984,tp
1978-12-01,36.54,44.56,0,1,877.91875,-0.7545719,0.18896782,4.236720000000048,8.259221,tp
1978-12-01,36.29,44.81,0,1,892.70875,-0.3601017,-0.30993354,5.151030000000048,8.58657,tp
1984-11-01,36.54,44.56,0,1,878.715,-0.5589739,-0.047694266,7.186180000000036,8.173309,tp
1984-11-01,36.54,44.81,0,1,848.42,-0.18791068,0.0007676482,5.1329600000000255,8.349262,tp
1985-02-01,36.79,43.56,0,1,928.4606,-0.39193368,-0.33088773,1.1417500000000018,8.842939,tp
1987-02-01,37.29,43.56,0,1,833.0344,-0.29259396,-0.6539612,-1.312599999999975,8.234879000000001,tp
1987-02-01,37.29,43.81,0,1,831.4744000000001,-0.19591427,-0.63912964,-1.4868999999999915,8.28447,tp
1987-02-01,37.29,44.06,0,1,827.6094,-0.15740108,-0.46603394,-1.711279999999988,8.345863,tp
1988-02-01,37.29,43.31,0,1,836.6331,-0.5929165,-0.5371895,-2.460549999999955,8.332179,tp
1988-02-01,37.29,43.56,0,1,830.9431,-0.36214256,-0.650074,-2.88682,8.27174,tp
1988-02-01,37.29,43.81,0,1,829.3931,-0.23854637,-0.71574783,-3.102639999999951,8.401558999999999,tp
1988-02-01,37.29,44.06,0,1,825.5381,-0.291708,-0.6673775,-3.58359999999999,8.608029,tp
1988-02-01,37.04,43.56,0,1,878.7881,-0.51613426,-1.113697,-0.7644999999999982,8.581803,tp
1988-02-01,37.04,43.81,0,1,877.5381,-0.37276268,-1.2259712,-1.0091299999999706,8.858846,tp
1988-02-01,37.04,44.06,0,1,879.8131,-0.4259243,-1.178791,-0.928799999999967,8.783386,tp
1988-02-01,37.04,44.31,0,1,871.9881,-0.6104946,-0.98402786,-1.0115699999999492,8.164094,tp
1988-02-01,36.54,44.81,0,1,844.9131,-0.7096157,-0.2379036,-1.3865699999999492,8.311317,tp
1988-03-01,37.04,43.31,0,1,883.7156,-0.447325,-0.3605172,3.9259300000000508,8.189385,tp
1988-03-01,37.04,43.56,0,1,877.2656,-0.2619307,-0.5580575,3.216700000000003,8.418267,tp
1988-03-01,37.04,43.81,0,1,875.9956,-0.16998124,-0.5803048,3.072900000000004,8.533900000000001,tp
1988-03-01,37.04,44.06,0,1,878.2206,-0.17242265,-0.47575158,3.28018000000003,8.814757,tp
1988-03-01,37.04,44.31,0,1,870.4105999999999,-0.19888139,-0.18885583,3.12856000000005,8.8447975,tp
1988-03-01,36.79,44.06,0,1,921.2506,-0.18993974,-0.32072228,6.831450000000018,8.190815,tp
1988-03-01,36.79,44.31,0,1,905.0556,-0.38571,-0.053266227,5.690820000000031,8.3441185,tp
