valid_time,latitude,longitude,number,expver,sp,u10,v10,t2m,tp,lat,lon,Aykırı_Sütun
1944-02-01,37.29,44.81,0,1,792.72625,1.3791978,0.91094875,-6.135839999999973,1.8300011,37.29,44.81,u10
1944-03-01,37.54,44.81,0,1,803.0794000000001,1.2943006,1.0771484,1.3563500000000204,2.8445255,37.54,44.81,u10
1944-03-01,37.29,44.81,0,1,793.9994,1.3014417,0.91485596,0.5536000000000172,3.6204587999999998,37.29,44.81,u10
1944-12-01,36.29,44.06,0,1,954.1475,-1.4822874,-0.88026524,5.985250000000008,2.2173955000000003,36.29,44.06,u10
1945-04-01,37.79,44.31,0,1,759.46375,1.2689052,1.246811,-0.24447999999995318,1.2602452,37.79,44.31,u10
1945-04-01,37.79,44.56,0,1,784.27375,1.36412,1.1005098,1.5616700000000492,1.0932926,37.79,44.56,u10
1945-04-01,37.79,44.81,0,1,816.26875,1.341476,0.9710237,4.128080000000011,0.87841786,37.79,44.81,u10
1945-04-01,37.54,44.56,0,1,777.09375,1.2609096,1.1696931,0.6700700000000097,1.4432315,37.54,44.56,u10
1945-04-01,37.54,44.81,0,1,802.90375,1.4219813,1.1428682,2.7950700000000097,1.1233332999999999,37.54,44.81,u10
1945-04-01,37.29,44.81,0,1,793.87375,1.470077,1.018509,1.8917500000000018,1.2284760000000001,37.29,44.81,u10
1945-12-01,37.79,44.56,0,1,785.9780999999999,1.2916479,0.6727585,-6.844099999999969,2.0514051,37.79,44.56,u10
1946-02-01,37.79,44.56,0,1,782.0525,1.2896681,0.99835646,-7.045749999999998,3.0621400000000003,37.79,44.56,u10
1946-02-01,37.54,44.81,0,1,801.1775,1.3268385,1.0385786,-5.713959999999986,3.5072674999999998,37.54,44.81,u10
1946-02-01,37.29,44.81,0,1,791.9475,1.3689528,0.99414504,-5.797699999999963,5.9729926,37.29,44.81,u10
1946-03-01,37.29,44.81,0,1,792.6256,1.3395853,1.1748991,-1.6795399999999745,3.550994,37.29,44.81,u10
1946-08-01,37.79,44.06,0,1,754.3306,-1.7489424,-0.35441017,14.45718000000005,0.32645464,37.79,44.06,u10
1946-08-01,37.79,44.31,0,1,763.1956,-1.8931684,-0.708292,14.671530000000018,0.20301342,37.79,44.31,u10
1946-08-01,37.79,44.56,0,1,787.3006,-1.6216841,-0.92450905,16.41470000000004,0.14296174,37.79,44.56,u10
1946-08-01,37.54,44.31,0,1,775.8706,-1.5107527,-1.1407871,16.106100000000026,0.074744225,37.54,44.31,u10
1946-08-01,37.54,44.56,0,1,779.7955999999999,-1.5302534,-1.3290195,15.971339999999998,0.061005354,37.54,44.56,u10
1946-08-01,37.29,44.56,0,1,798.6406,-1.5238142,-1.4450169,18.418600000000026,0.017404555999999998,37.29,44.56,u10
1946-08-01,37.04,44.31,0,1,866.6156,-1.5030928,-1.2364597,24.720360000000028,0.002682209,37.04,44.31,u10
1946-08-01,37.04,44.56,0,1,836.9756,-1.8009748,-1.3093662,22.175440000000037,0.0016689300000000001,37.04,44.56,u10
1946-08-01,37.04,44.81,0,1,813.5305999999999,-1.8715925,-1.4593601,19.81948,0.013500452,37.04,44.81,u10
1946-08-01,36.79,44.56,0,1,863.2706,-1.6005049,-1.1245213,24.70718000000005,0.00044703483999999997,36.79,44.56,u10
