valid_time;t2m
1.10.1965 00:00;283,7263184
1.11.1965 00:00;278,4931641
1.12.1965 00:00;274,2583008
1.01.1966 00:00;276,1550293
1.02.1966 00:00;275,6357422
1.03.1966 00:00;277,8081055
1.04.1966 00:00;283,5644531
1.05.1966 00:00;288,206543
1.06.1966 00:00;296,1181641
1.07.1966 00:00;301,1052246
1.08.1966 00:00;300,9838867
1.09.1966 00:00;294,2124023
1.10.1966 00:00;286,7004395
1.11.1966 00:00;283,0166016
1.12.1966 00:00;274,8728027
1.01.1967 00:00;271,1838379
1.02.1967 00:00;269,7873535
1.03.1967 00:00;274,5581055
1.04.1967 00:00;279,9243164
1.05.1967 00:00;287,5393066
1.06.1967 00:00;292,8579102
1.07.1967 00:00;299,1586914
1.08.1967 00:00;299,9401855
1.09.1967 00:00;294,3132324
1.10.1967 00:00;286,8806152
1.11.1967 00:00;278,4816895
1.12.1967 00:00;272,8710938
1.01.1968 00:00;269,9162598
1.02.1968 00:00;271,9523926
1.03.1968 00:00;276,1489258
1.04.1968 00:00;283,2702637
1.05.1968 00:00;288,578125
1.06.1968 00:00;292,6120605
1.07.1968 00:00;299,5324707
1.08.1968 00:00;297,5014648
1.09.1968 00:00;294,0244141
1.10.1968 00:00;288,2033691
1.11.1968 00:00;280,4733887
1.12.1968 00:00;274,7873535
1.01.1969 00:00;271,9487305
1.02.1969 00:00;272,2907715
1.03.1969 00:00;278,013916
1.04.1969 00:00;279,9746094
1.05.1969 00:00;288,9267578
1.06.1969 00:00;295,3088379
1.07.1969 00:00;298,9338379
1.08.1969 00:00;300,4533691
1.09.1969 00:00;293,515625
1.10.1969 00:00;286,3530273
1.11.1969 00:00;279,1306152
1.12.1969 00:00;275,1054688
1.01.1970 00:00;273,0983887
1.02.1970 00:00;274,7192383
1.03.1970 00:00;278,6054688
1.04.1970 00:00;285,0812988
1.05.1970 00:00;289,0627441
1.06.1970 00:00;296,395752
1.07.1970 00:00;299,880127
1.08.1970 00:00;299,7893066
1.09.1970 00:00;294,7172852
1.10.1970 00:00;286,1166992
1.11.1970 00:00;281,565918
1.12.1970 00:00;270,4362793
1.01.1971 00:00;272,9899902
1.02.1971 00:00;271,161377
1.03.1971 00:00;277,6865234
1.04.1971 00:00;281,1394043
1.05.1971 00:00;289,1704102
1.06.1971 00:00;294,4707031
1.07.1971 00:00;300,4958496
1.08.1971 00:00;298,9333496
1.09.1971 00:00;296,1647949
1.10.1971 00:00;285,8056641
1.11.1971 00:00;279,0217285
1.12.1971 00:00;270,2785645
1.01.1972 00:00;267,0371094
1.02.1972 00:00;269,4433594
1.03.1972 00:00;275,371582
1.04.1972 00:00;282,5239258
1.05.1972 00:00;285,5576172
1.06.1972 00:00;292,0505371
1.07.1972 00:00;298,8349609
1.08.1972 00:00;298,4465332
1.09.1972 00:00;294,1010742
1.10.1972 00:00;288,5766602
1.11.1972 00:00;278,5974121
1.12.1972 00:00;270,8540039
1.01.1973 00:00;268,3215332
