valid_time;u10
1.05.1963 00:00:00;-0,4020776
1.06.1963 00:00:00;-0,0184533
1.07.1963 00:00:00;0,1185052
1.08.1963 00:00:00;0,0882067
1.09.1963 00:00:00;-0,1874525
1.10.1963 00:00:00;-0,3675422
1.11.1963 00:00:00;-0,4174983
1.12.1963 00:00:00;-0,6735497
1.01.1964 00:00:00;-0,9895067
1.02.1964 00:00:00;-0,8149319
1.03.1964 00:00:00;-0,8362150
1.04.1964 00:00:00;-0,3308366
1.05.1964 00:00:00;-0,2987599
1.06.1964 00:00:00;0,0061986
1.07.1964 00:00:00;0,1807461
1.08.1964 00:00:00;0,2713093
1.09.1964 00:00:00;-0,1016076
1.10.1964 00:00:00;-0,3204492
1.11.1964 00:00:00;-0,6434006
1.12.1964 00:00:00;-0,9524527
1.01.1965 00:00:00;-0,7726108
1.02.1965 00:00:00;-0,8821516
1.03.1965 00:00:00;-0,7150504
1.04.1965 00:00:00;-0,7303116
1.05.1965 00:00:00;-0,3740569
1.06.1965 00:00:00;0,1579050
1.07.1965 00:00:00;0,1641117
1.08.1965 00:00:00;0,0264359
1.09.1965 00:00:00;-0,1553777
1.10.1965 00:00:00;-0,3971406
1.11.1965 00:00:00;-0,6037722
1.12.1965 00:00:00;-0,9817171
1.01.1966 00:00:00;-0,9317274
1.02.1966 00:00:00;-0,6508375
1.03.1966 00:00:00;-0,5420218
1.04.1966 00:00:00;-0,6212534
1.05.1966 00:00:00;-0,4411651
1.06.1966 00:00:00;0,2171891
1.07.1966 00:00:00;-0,0999835
1.08.1966 00:00:00;-0,1201178
1.09.1966 00:00:00;-0,2462968
1.10.1966 00:00:00;-0,5002908
1.11.1966 00:00:00;-0,7532529
1.12.1966 00:00:00;-0,9551640
1.01.1967 00:00:00;-0,9670448
1.02.1967 00:00:00;-0,7720203
1.03.1967 00:00:00;-0,9266205
1.04.1967 00:00:00;-0,8158388
1.05.1967 00:00:00;-0,4952908
1.06.1967 00:00:00;0,0000485
1.07.1967 00:00:00;0,0205164
1.08.1967 00:00:00;-0,1306015
1.09.1967 00:00:00;-0,1245450
1.10.1967 00:00:00;-0,5588859
1.11.1967 00:00:00;-0,6997793
1.12.1967 00:00:00;-1,0144291
1.01.1968 00:00:00;-0,9927387
1.02.1968 00:00:00;-0,9050779
1.03.1968 00:00:00;-0,7622080
1.04.1968 00:00:00;-0,6926800
1.05.1968 00:00:00;-0,5600728
1.06.1968 00:00:00;-0,0009586
1.07.1968 00:00:00;-0,1146631
1.08.1968 00:00:00;0,1805215
1.09.1968 00:00:00;-0,1148055
1.10.1968 00:00:00;-0,4847192
1.11.1968 00:00:00;-0,6467035
1.12.1968 00:00:00;-0,9072027
1.01.1969 00:00:00;-0,8936596
1.02.1969 00:00:00;-0,8786936
1.03.1969 00:00:00;-0,9316082
1.04.1969 00:00:00;-0,7004145
1.05.1969 00:00:00;-0,3271414
1.06.1969 00:00:00;0,1482478
1.07.1969 00:00:00;0,2203124
1.08.1969 00:00:00;-0,0600880
1.09.1969 00:00:00;-0,1256875
1.10.1969 00:00:00;-0,5426848
1.11.1969 00:00:00;-0,5664880
1.12.1969 00:00:00;-0,8224831
1.01.1970 00:00:00;-0,7646580
1.02.1970 00:00:00;-0,9502201
1.03.1970 00:00:00;-0,7308947
1.04.1970 00:00:00;-0,5145810
1.05.1970 00:00:00;-0,1714535
1.06.1970 00:00:00;0,1483378
1.07.1970 00:00:00;0,0350363
1.08.1970 00:00:00;0,0028784
1.09.1970 00:00:00;0,0243964
1.10.1970 00:00:00;-0,3134152
1.11.1970 00:00:00;-0,5735940
1.12.1970 00:00:00;-0,9454432
1.01.1971 00:00:00;-0,9432983
1.02.1971 00:00:00;-0,9057798
1.03.1971 00:00:00;-0,8547106
1.04.1971 00:00:00;-0,5619962
1.05.1971 00:00:00;-0,3649102
1.06.1971 00:00:00;0,1209221
1.07.1971 00:00:00;-0,0328893
1.08.1971 00:00:00;0,0169239
1.09.1971 00:00:00;-0,0985177
1.10.1971 00:00:00;-0,4490504
1.11.1971 00:00:00;-0,6801349
1.12.1971 00:00:00;-0,9044218
1.01.1972 00:00:00;-0,9087791
1.02.1972 00:00:00;-0,8980398
1.03.1972 00:00:00;-0,7848797
1.04.1972 00:00:00;-0,8401349
1.05.1972 00:00:00;-0,3006887
1.06.1972 00:00:00;-0,3210713
1.07.1972 00:00:00;0,0678931
1.08.1972 00:00:00;-0,1680157
1.09.1972 00:00:00;-0,2297085
1.10.1972 00:00:00;-0,6790378
1.11.1972 00:00:00;-0,6184407
1.12.1972 00:00:00;-0,7785838
1.01.1973 00:00:00;-1,0397444
1.02.1973 00:00:00;-0,9214334
1.03.1973 00:00:00;-0,7963483
1.04.1973 00:00:00;-0,5610815
1.05.1973 00:00:00;-0,3788245
1.06.1973 00:00:00;-0,0232198
1.07.1973 00:00:00;0,0862682
1.08.1973 00:00:00;-0,0914981
1.09.1973 00:00:00;-0,0743029
1.10.1973 00:00:00;-0,5398219
1.11.1973 00:00:00;-0,6947309
1.12.1973 00:00:00;-0,9412794
1.01.1974 00:00:00;-0,9217167
1.02.1974 00:00:00;-0,9591722
1.03.1974 00:00:00;-0,6928444
1.04.1974 00:00:00;-0,4940396
1.05.1974 00:00:00;-0,3965793
1.06.1974 00:00:00;0,1257921
1.07.1974 00:00:00;-0,0171213
1.08.1974 00:00:00;0,0235645
1.09.1974 00:00:00;-0,0945789
1.10.1974 00:00:00;-0,5231501
1.11.1974 00:00:00;-0,6601477
1.12.1974 00:00:00;-1,0127392
1.01.1975 00:00:00;-0,9879713
1.02.1975 00:00:00;-0,9715633
1.03.1975 00:00:00;-0,7526944
1.04.1975 00:00:00;-0,7251447
1.05.1975 00:00:00;-0,4761038
1.06.1975 00:00:00;-0,1791867
1.07.1975 00:00:00;0,0086197
