valid_time;v10
1.10.1963 00:00:00;0,2042970
1.11.1963 00:00:00;-0,1454353
1.12.1963 00:00:00;-0,1955652
1.01.1964 00:00:00;-0,2879353
1.02.1964 00:00:00;0,1755915
1.03.1964 00:00:00;0,1878174
1.04.1964 00:00:00;0,0849778
1.05.1964 00:00:00;0,0295406
1.06.1964 00:00:00;0,2267421
1.07.1964 00:00:00;0,1017262
1.08.1964 00:00:00;0,0605890
1.09.1964 00:00:00;0,1726225
1.10.1964 00:00:00;-0,2991204
1.11.1964 00:00:00;0,3352855
1.12.1964 00:00:00;-0,2151270
1.01.1965 00:00:00;-0,1966305
1.02.1965 00:00:00;0,3711196
1.03.1965 00:00:00;-0,0180933
1.04.1965 00:00:00;0,2540425
1.05.1965 00:00:00;0,1254357
1.06.1965 00:00:00;-0,1744514
1.07.1965 00:00:00;0,2887616
1.08.1965 00:00:00;0,3801721
1.09.1965 00:00:00;0,0794764
1.10.1965 00:00:00;0,0830947
1.11.1965 00:00:00;0,1373661
1.12.1965 00:00:00;0,1414824
1.01.1966 00:00:00;0,4583737
1.02.1966 00:00:00;-0,1026122
1.03.1966 00:00:00;0,1506395
1.04.1966 00:00:00;0,1889251
1.05.1966 00:00:00;0,2600329
1.06.1966 00:00:00;-0,1487172
1.07.1966 00:00:00;0,2490005
1.08.1966 00:00:00;0,5060094
1.09.1966 00:00:00;0,3357203
1.10.1966 00:00:00;-0,1569164
1.11.1966 00:00:00;-0,0600500
1.12.1966 00:00:00;0,2561418
1.01.1967 00:00:00;0,3986701
1.02.1967 00:00:00;0,0079161
1.03.1967 00:00:00;0,2065468
1.04.1967 00:00:00;0,2158765
1.05.1967 00:00:00;0,1477012
1.06.1967 00:00:00;-0,1364037
1.07.1967 00:00:00;-0,2714914
1.08.1967 00:00:00;0,2929783
1.09.1967 00:00:00;0,1974872
1.10.1967 00:00:00;-0,0351812
1.11.1967 00:00:00;0,1376416
1.12.1967 00:00:00;0,1597509
1.01.1968 00:00:00;0,6343625
1.02.1968 00:00:00;-0,0119724
1.03.1968 00:00:00;0,1221394
1.04.1968 00:00:00;-0,1542206
1.05.1968 00:00:00;-0,0232686
1.06.1968 00:00:00;-0,2341543
1.07.1968 00:00:00;0,1073632
1.08.1968 00:00:00;0,2247494
1.09.1968 00:00:00;0,5376676
1.10.1968 00:00:00;0,3102031
1.11.1968 00:00:00;0,1551773
1.12.1968 00:00:00;0,1647140
1.01.1969 00:00:00;0,2873082
1.02.1969 00:00:00;0,1960564
1.03.1969 00:00:00;0,3923133
1.04.1969 00:00:00;0,2042394
1.05.1969 00:00:00;-0,1976532
1.06.1969 00:00:00;-0,1159917
1.07.1969 00:00:00;-0,0953475
1.08.1969 00:00:00;0,3621098
1.09.1969 00:00:00;-0,0253801
1.10.1969 00:00:00;0,1171937
1.11.1969 00:00:00;0,0033697
1.12.1969 00:00:00;0,2908985
1.01.1970 00:00:00;0,0687695
1.02.1970 00:00:00;0,3979170
1.03.1970 00:00:00;0,2027717
1.04.1970 00:00:00;0,0917110
1.05.1970 00:00:00;0,4550569
1.06.1970 00:00:00;0,1678461
1.07.1970 00:00:00;0,0619183
1.08.1970 00:00:00;0,4640640
1.09.1970 00:00:00;0,2994481
1.10.1970 00:00:00;0,1434764
1.11.1970 00:00:00;0,2049771
1.12.1970 00:00:00;0,0336914
1.01.1971 00:00:00;-0,2957754
1.02.1971 00:00:00;0,2532067
1.03.1971 00:00:00;0,4276028
1.04.1971 00:00:00;0,3145159
1.05.1971 00:00:00;0,0890904
1.06.1971 00:00:00;-0,3415444
1.07.1971 00:00:00;0,2131314
1.08.1971 00:00:00;0,2945408
1.09.1971 00:00:00;0,1406118
1.10.1971 00:00:00;0,1864165
1.11.1971 00:00:00;0,1146546
1.12.1971 00:00:00;0,0131882
1.01.1972 00:00:00;-0,1259899
1.02.1972 00:00:00;-0,2206507
1.03.1972 00:00:00;-0,1275272
1.04.1972 00:00:00;0,1110535
1.05.1972 00:00:00;0,0309612
1.06.1972 00:00:00;-0,1822505
1.07.1972 00:00:00;0,1541016
1.08.1972 00:00:00;0,2487970
1.09.1972 00:00:00;0,3087229
1.10.1972 00:00:00;0,2370782
1.11.1972 00:00:00;0,0753688
1.12.1972 00:00:00;-0,3428221
1.01.1973 00:00:00;-0,0622816
1.02.1973 00:00:00;0,0844202
1.03.1973 00:00:00;0,1796024
1.04.1973 00:00:00;0,2059369
1.05.1973 00:00:00;0,0348946
1.06.1973 00:00:00;0,0465671
1.07.1973 00:00:00;0,1097319
1.08.1973 00:00:00;0,4756483
1.09.1973 00:00:00;0,0578378
1.10.1973 00:00:00;0,1662198
1.11.1973 00:00:00;0,1474880
1.12.1973 00:00:00;-0,1848278
1.01.1974 00:00:00;-0,0357685
1.02.1974 00:00:00;-0,2601204
1.03.1974 00:00:00;0,0486212
1.04.1974 00:00:00;0,3534902
1.05.1974 00:00:00;0,4921705
1.06.1974 00:00:00;0,1419042
1.07.1974 00:00:00;-0,2095374
1.08.1974 00:00:00;0,3644159
1.09.1974 00:00:00;-0,0429292
1.10.1974 00:00:00;0,1374354
1.11.1974 00:00:00;0,2339075
1.12.1974 00:00:00;0,0350113
1.01.1975 00:00:00;-0,1258850
1.02.1975 00:00:00;0,2476330
1.03.1975 00:00:00;-0,0300702
1.04.1975 00:00:00;0,2660969
1.05.1975 00:00:00;0,0908863
1.06.1975 00:00:00;0,1607620
1.07.1975 00:00:00;0,2219442
1.08.1975 00:00:00;0,2500205
1.09.1975 00:00:00;-0,0242038
1.10.1975 00:00:00;-0,1055131
1.11.1975 00:00:00;0,1398882
1.12.1975 00:00:00;-0,0453930
1.01.1976 00:00:00;0,3700171
1.02.1976 00:00:00;-0,0738498
1.03.1976 00:00:00;-0,0794086
1.04.1976 00:00:00;0,2390315
1.05.1976 00:00:00;0,1074119
1.06.1976 00:00:00;0,0309266
1.07.1976 00:00:00;-0,0172632
1.08.1976 00:00:00;0,6433849
1.09.1976 00:00:00;0,3719430
1.10.1976 00:00:00;0,0400474
1.11.1976 00:00:00;-0,0103664
1.12.1976 00:00:00;0,0865383
1.01.1977 00:00:00;-0,1636057
1.02.1977 00:00:00;-0,0216484
1.03.1977 00:00:00;0,1552220
1.04.1977 00:00:00;0,1930805
1.05.1977 00:00:00;-0,2191790
1.06.1977 00:00:00;0,0426561
1.07.1977 00:00:00;-0,3003581
1.08.1977 00:00:00;0,0549297
1.09.1977 00:00:00;0,4159894
1.10.1977 00:00:00;-0,0636078
1.11.1977 00:00:00;-0,1228670
1.12.1977 00:00:00;0,0745106
1.01.1978 00:00:00;0,2563517
1.02.1978 00:00:00;0,2625050
1.03.1978 00:00:00;0,2539393
1.04.1978 00:00:00;0,4622287
1.05.1978 00:00:00;-0,3057508
1.06.1978 00:00:00;-0,4046058
1.07.1978 00:00:00;-0,2390543
1.08.1978 00:00:00;0,3452125
1.09.1978 00:00:00;0,4690914
1.10.1978 00:00:00;-0,0880237
1.11.1978 00:00:00;-0,2981567
1.12.1978 00:00:00;0,2470898
1.01.1979 00:00:00;0,1773204
1.02.1979 00:00:00;0,1500227
1.03.1979 00:00:00;-0,1721793
1.04.1979 00:00:00;0,3350359
1.05.1979 00:00:00;-0,0075997
1.06.1979 00:00:00;0,0244524
1.07.1979 00:00:00;-0,0468269
1.08.1979 00:00:00;0,4649928
1.09.1979 00:00:00;0,1117872
1.10.1979 00:00:00;0,0999764
1.11.1979 00:00:00;0,1745305
1.12.1979 00:00:00;0,0188513
1.01.1980 00:00:00;0,0574913
1.02.1980 00:00:00;0,0016298
1.03.1980 00:00:00;0,2591888
1.04.1980 00:00:00;0,3603158
1.05.1980 00:00:00;0,1349759
1.06.1980 00:00:00;-0,1528542
1.07.1980 00:00:00;0,1348768
1.08.1980 00:00:00;0,2261247
1.09.1980 00:00:00;0,3613446
1.10.1980 00:00:00;-0,1044436
1.11.1980 00:00:00;0,0676804
1.12.1980 00:00:00;0,0924788
1.01.1981 00:00:00;0,2527952
1.02.1981 00:00:00;0,1493109
1.03.1981 00:00:00;0,1489502
1.04.1981 00:00:00;0,0446116
1.05.1981 00:00:00;0,2592325
1.06.1981 00:00:00;-0,2249206
1.07.1981 00:00:00;-0,2693394
1.08.1981 00:00:00;0,2596706
1.09.1981 00:00:00;0,1772818
1.10.1981 00:00:00;-0,0408688
1.11.1981 00:00:00;0,1361507
1.12.1981 00:00:00;0,3050675
1.01.1982 00:00:00;-0,1474133
1.02.1982 00:00:00;-0,1136599
1.03.1982 00:00:00;0,0902775
1.04.1982 00:00:00;0,2585776
1.05.1982 00:00:00;-0,0181044
1.06.1982 00:00:00;-0,2361153
1.07.1982 00:00:00;0,4156466
1.08.1982 00:00:00;-0,1531714
1.09.1982 00:00:00;0,1656971
1.10.1982 00:00:00;-0,0572659
1.11.1982 00:00:00;-0,1629925
1.12.1982 00:00:00;-0,0153179
1.01.1983 00:00:00;-0,0929260
1.02.1983 00:00:00;0,0922899
1.03.1983 00:00:00;0,0700197
1.04.1983 00:00:00;0,1287628
1.05.1983 00:00:00;0,1403989
1.06.1983 00:00:00;-0,0771105
1.07.1983 00:00:00;0,1631352
1.08.1983 00:00:00;0,2364922
1.09.1983 00:00:00;0,0271045
1.10.1983 00:00:00;0,1386641
1.11.1983 00:00:00;0,3549563
1.12.1983 00:00:00;-0,0769629
1.01.1984 00:00:00;-0,0563297
1.02.1984 00:00:00;-0,1363297
1.03.1984 00:00:00;0,2714003
1.04.1984 00:00:00;0,5953770
1.05.1984 00:00:00;-0,2274750
1.06.1984 00:00:00;-0,2193352
1.07.1984 00:00:00;0,2782253
1.08.1984 00:00:00;0,2928944
1.09.1984 00:00:00;0,0287891
1.10.1984 00:00:00;-0,1384674
1.11.1984 00:00:00;0,0696053
1.12.1984 00:00:00;-0,1594162
1.01.1985 00:00:00;0,0684609
1.02.1985 00:00:00;0,4837753
1.03.1985 00:00:00;-0,3123903
1.04.1985 00:00:00;0,2346084
1.05.1985 00:00:00;-0,0761294
1.06.1985 00:00:00;0,0970581
1.07.1985 00:00:00;0,1455968
1.08.1985 00:00:00;-0,2941726
1.09.1985 00:00:00;0,1189952
1.10.1985 00:00:00;0,0575648
1.11.1985 00:00:00;0,0066537
1.12.1985 00:00:00;-0,1441212
1.01.1986 00:00:00;0,1272602
1.02.1986 00:00:00;0,2380152
1.03.1986 00:00:00;-0,1609772
1.04.1986 00:00:00;0,1359189
1.05.1986 00:00:00;0,2935224
1.06.1986 00:00:00;-0,2296043
1.07.1986 00:00:00;0,1277290
1.08.1986 00:00:00;0,0275965
1.09.1986 00:00:00;0,1681961
1.10.1986 00:00:00;0,0127187
1.11.1986 00:00:00;0,0855376
1.12.1986 00:00:00;0,2042529
1.01.1987 00:00:00;0,4851656
1.02.1987 00:00:00;0,1887665
1.03.1987 00:00:00;0,3498999
1.04.1987 00:00:00;0,2372047
1.05.1987 00:00:00;0,3499724
1.06.1987 00:00:00;0,4209227
1.07.1987 00:00:00;-0,0000466
1.08.1987 00:00:00;0,1133953
1.09.1987 00:00:00;-0,1497582
1.10.1987 00:00:00;0,0854555
1.11.1987 00:00:00;0,1029183
1.12.1987 00:00:00;0,3510722
1.01.1988 00:00:00;0,0366068
1.02.1988 00:00:00;0,1269808
1.03.1988 00:00:00;0,4521292
1.04.1988 00:00:00;0,0884659
1.05.1988 00:00:00;0,0560858
1.06.1988 00:00:00;0,0439365
1.07.1988 00:00:00;-0,4697366
1.08.1988 00:00:00;-0,3481441
1.09.1988 00:00:00;-0,0738035
1.10.1988 00:00:00;0,3315940
1.11.1988 00:00:00;0,2585304
1.12.1988 00:00:00;0,1180121
1.01.1989 00:00:00;-0,5158529
1.02.1989 00:00:00;-0,3505678
1.03.1989 00:00:00;0,0610984
1.04.1989 00:00:00;-0,0421920
1.05.1989 00:00:00;0,0504290
1.06.1989 00:00:00;0,3306648
1.07.1989 00:00:00;0,6251612
1.08.1989 00:00:00;0,4716569
1.09.1989 00:00:00;0,0471060
1.10.1989 00:00:00;0,0987197
1.11.1989 00:00:00;0,3853806
1.12.1989 00:00:00;0,0329056
1.01.1990 00:00:00;-0,2283039
1.02.1990 00:00:00;0,0356989
1.03.1990 00:00:00;-0,3134572
1.04.1990 00:00:00;0,2154243
1.05.1990 00:00:00;-0,0779555
1.06.1990 00:00:00;0,0552157
1.07.1990 00:00:00;0,2475483
1.08.1990 00:00:00;0,2299135
1.09.1990 00:00:00;0,2563719
1.10.1990 00:00:00;-0,1145992
1.11.1990 00:00:00;0,0038138
1.12.1990 00:00:00;-0,0706797
1.01.1991 00:00:00;-0,0503807
1.02.1991 00:00:00;-0,0202456
1.03.1991 00:00:00;-0,0721872
1.04.1991 00:00:00;0,3574976
1.05.1991 00:00:00;0,0108592
1.06.1991 00:00:00;0,1229069
1.07.1991 00:00:00;0,1884192
1.08.1991 00:00:00;0,5669996
1.09.1991 00:00:00;0,0382451
1.10.1991 00:00:00;0,0403574
1.11.1991 00:00:00;0,0287381
1.12.1991 00:00:00;0,1409321
1.01.1992 00:00:00;-0,0964584
1.02.1992 00:00:00;0,3634928
1.03.1992 00:00:00;-0,1757698
1.04.1992 00:00:00;0,0666736
1.05.1992 00:00:00;0,0157647
1.06.1992 00:00:00;0,1069333
1.07.1992 00:00:00;0,1543425
1.08.1992 00:00:00;-0,2496182
1.09.1992 00:00:00;0,0722315
1.10.1992 00:00:00;-0,0461684
1.11.1992 00:00:00;0,2419694
1.12.1992 00:00:00;0,0639095
1.01.1993 00:00:00;-0,0775042
1.02.1993 00:00:00;0,0572395
1.03.1993 00:00:00;0,0442171
1.04.1993 00:00:00;0,3324370
1.05.1993 00:00:00;0,2674305
1.06.1993 00:00:00;-0,0247157
1.07.1993 00:00:00;-0,1017939
1.08.1993 00:00:00;0,0608552
1.09.1993 00:00:00;0,2338067
1.10.1993 00:00:00;-0,1769043
1.11.1993 00:00:00;0,0859940
1.12.1993 00:00:00;-0,0525503
1.01.1994 00:00:00;0,0329456
1.02.1994 00:00:00;-0,0069146
1.03.1994 00:00:00;0,2518513
1.04.1994 00:00:00;0,2989252
1.05.1994 00:00:00;-0,0401114
1.06.1994 00:00:00;-0,3479499
1.07.1994 00:00:00;0,3259954
1.08.1994 00:00:00;0,2276228
1.09.1994 00:00:00;-0,3185241
1.10.1994 00:00:00;-0,1583803
1.11.1994 00:00:00;0,2852568
1.12.1994 00:00:00;0,0358791
1.01.1995 00:00:00;0,0853987
1.02.1995 00:00:00;-0,2075621
1.03.1995 00:00:00;0,2012798
1.04.1995 00:00:00;0,3952004
1.05.1995 00:00:00;0,1403547
1.06.1995 00:00:00;-0,2113357
1.07.1995 00:00:00;0,3349466
1.08.1995 00:00:00;0,3404415
1.09.1995 00:00:00;0,1126267
1.10.1995 00:00:00;-0,2205774
1.11.1995 00:00:00;0,2702358
1.12.1995 00:00:00;-0,2773514
1.01.1996 00:00:00;0,0010872
1.02.1996 00:00:00;0,0163078
1.03.1996 00:00:00;0,3110058
1.04.1996 00:00:00;0,5150869
1.05.1996 00:00:00;0,1569908
1.06.1996 00:00:00;-0,2763315
1.07.1996 00:00:00;-0,0759021
1.08.1996 00:00:00;0,4488841
1.09.1996 00:00:00;0,3705233
1.10.1996 00:00:00;0,1065205
1.11.1996 00:00:00;-0,2803001
1.12.1996 00:00:00;0,3362412
1.01.1997 00:00:00;-0,2072239
1.02.1997 00:00:00;0,0433397
1.03.1997 00:00:00;0,1364575
1.04.1997 00:00:00;0,3683158
1.05.1997 00:00:00;-0,0757133
1.06.1997 00:00:00;0,0223077
1.07.1997 00:00:00;-0,2043130
1.08.1997 00:00:00;0,5931662
1.09.1997 00:00:00;0,3132544
1.10.1997 00:00:00;0,0771672
1.11.1997 00:00:00;-0,0491776
1.12.1997 00:00:00;0,0796003
1.01.1998 00:00:00;-0,1147213
1.02.1998 00:00:00;-0,3245974
1.03.1998 00:00:00;0,3987620
1.04.1998 00:00:00;0,0971627
1.05.1998 00:00:00;-0,0671815
1.06.1998 00:00:00;-0,0559901
1.07.1998 00:00:00;-0,2335191
1.08.1998 00:00:00;-0,0113693
1.09.1998 00:00:00;-0,0070368
1.10.1998 00:00:00;-0,0995268
1.11.1998 00:00:00;0,3098946
1.12.1998 00:00:00;0,1416590
1.01.1999 00:00:00;-0,0640292
1.02.1999 00:00:00;0,3254457
1.03.1999 00:00:00;0,1718331
1.04.1999 00:00:00;0,1074697
1.05.1999 00:00:00;-0,1811565
1.06.1999 00:00:00;0,5569246
1.07.1999 00:00:00;0,0400971
1.08.1999 00:00:00;0,3588983
1.09.1999 00:00:00;0,2210102
1.10.1999 00:00:00;0,0765157
1.11.1999 00:00:00;-0,0509893
1.12.1999 00:00:00;0,0105953
1.01.2000 00:00:00;0,3463583
1.02.2000 00:00:00;-0,0314894
1.03.2000 00:00:00;-0,0239151
1.04.2000 00:00:00;0,2996064
1.05.2000 00:00:00;0,1415523
1.06.2000 00:00:00;-0,2883044
1.07.2000 00:00:00;-0,1386805
1.08.2000 00:00:00;0,1125629
1.09.2000 00:00:00;0,1283339
1.10.2000 00:00:00;0,1109933
1.11.2000 00:00:00;-0,2556798
1.12.2000 00:00:00;0,0551901
1.01.2001 00:00:00;-0,2292194
1.02.2001 00:00:00;0,2020134
1.03.2001 00:00:00;0,1382450
1.04.2001 00:00:00;0,2287220
1.05.2001 00:00:00;-0,0016101
1.06.2001 00:00:00;-0,3152389
1.07.2001 00:00:00;0,2037287
1.08.2001 00:00:00;0,3566390
1.09.2001 00:00:00;0,2452356
1.10.2001 00:00:00;-0,0709311
1.11.2001 00:00:00;0,0055683
1.12.2001 00:00:00;0,3664732
1.01.2002 00:00:00;-0,0312777
1.02.2002 00:00:00;-0,1201856
1.03.2002 00:00:00;0,3479430
1.04.2002 00:00:00;0,4116017
1.05.2002 00:00:00;0,0668826
1.06.2002 00:00:00;-0,0618863
1.07.2002 00:00:00;0,0635757
1.08.2002 00:00:00;0,5249204
1.09.2002 00:00:00;0,2646104
1.10.2002 00:00:00;0,0344090
1.11.2002 00:00:00;-0,0600716
1.12.2002 00:00:00;0,0124311
1.01.2003 00:00:00;0,0829353
1.02.2003 00:00:00;0,5104785
1.03.2003 00:00:00;0,1812556
1.04.2003 00:00:00;0,4371999
1.05.2003 00:00:00;-0,2270738
1.06.2003 00:00:00;-0,1879755
1.07.2003 00:00:00;0,4151037
1.08.2003 00:00:00;0,1614507
1.09.2003 00:00:00;0,1964557
1.10.2003 00:00:00;0,3479717
1.11.2003 00:00:00;-0,0279585
1.12.2003 00:00:00;0,1271109
1.01.2004 00:00:00;0,3696079
1.02.2004 00:00:00;0,2752665
1.03.2004 00:00:00;-0,0528050
1.04.2004 00:00:00;0,0399778
1.05.2004 00:00:00;0,1315525
1.06.2004 00:00:00;0,0297396
1.07.2004 00:00:00;-0,2711611
1.08.2004 00:00:00;0,5021424
1.09.2004 00:00:00;0,2552261
1.10.2004 00:00:00;-0,0002183
1.11.2004 00:00:00;0,2013330
1.12.2004 00:00:00;-0,2545900
1.01.2005 00:00:00;-0,0120802
1.02.2005 00:00:00;0,1668571
1.03.2005 00:00:00;0,3505744
1.04.2005 00:00:00;0,2516268
1.05.2005 00:00:00;-0,0302731
1.06.2005 00:00:00;0,0434163
1.07.2005 00:00:00;0,3397283
1.08.2005 00:00:00;0,3053811
1.09.2005 00:00:00;0,3748459
1.10.2005 00:00:00;0,2570661
1.11.2005 00:00:00;0,0033613
1.12.2005 00:00:00;0,1027536
1.01.2006 00:00:00;0,0680400
1.02.2006 00:00:00;0,3520029
1.03.2006 00:00:00;0,2817956
1.04.2006 00:00:00;0,3848937
1.05.2006 00:00:00;0,0741336
1.06.2006 00:00:00;0,1638283
1.07.2006 00:00:00;0,3635365
1.08.2006 00:00:00;0,1493154
1.09.2006 00:00:00;0,0829930
1.10.2006 00:00:00;0,2749766
1.11.2006 00:00:00;0,0407724
1.12.2006 00:00:00;-0,3075714
1.01.2007 00:00:00;-0,0274496
1.02.2007 00:00:00;-0,0425715
1.03.2007 00:00:00;0,1566594
1.04.2007 00:00:00;0,4380746
1.05.2007 00:00:00;0,0403528
1.06.2007 00:00:00;-0,3881393
1.07.2007 00:00:00;-0,4795313
1.08.2007 00:00:00;0,2049021
1.09.2007 00:00:00;-0,0793909
