valid_time,latitude,longitude,number,expver,tp
1940-01-01 06:00:00,37.79,43.31,0,0001,0.0036499312
1940-01-01 06:00:00,37.79,43.56,0,0001,0.0032667925
1940-01-01 06:00:00,37.79,43.81,0,0001,0.0027503779
1940-01-01 06:00:00,37.79,44.06,0,0001,0.002303939
1940-01-01 06:00:00,37.79,44.31,0,0001,0.0018586924
1940-01-01 06:00:00,37.79,44.56,0,0001,0.0015133431
1940-01-01 06:00:00,37.79,44.81,0,0001,0.0009090712
1940-01-01 06:00:00,37.54,43.31,0,0001,0.0052568726
1940-01-01 06:00:00,37.54,43.56,0,0001,0.0050937943
1940-01-01 06:00:00,37.54,43.81,0,0001,0.0048605017
1940-01-01 06:00:00,37.54,44.06,0,0001,0.004581552
1940-01-01 06:00:00,37.54,44.31,0,0001,0.0038701107
1940-01-01 06:00:00,37.54,44.56,0,0001,0.002718549
1940-01-01 06:00:00,37.54,44.81,0,0001,0.0017324497
1940-01-01 06:00:00,37.29,43.31,0,0001,0.005740028
1940-01-01 06:00:00,37.29,43.56,0,0001,0.0057831816
1940-01-01 06:00:00,37.29,43.81,0,0001,0.006076198
1940-01-01 06:00:00,37.29,44.06,0,0001,0.006378036
1940-01-01 06:00:00,37.29,44.31,0,0001,0.006409388
1940-01-01 06:00:00,37.29,44.56,0,0001,0.0053205304
1940-01-01 06:00:00,37.29,44.81,0,0001,0.0034096052
1940-01-01 06:00:00,37.04,43.31,0,0001,0.0054789595
1940-01-01 06:00:00,37.04,43.56,0,0001,0.0061358027
1940-01-01 06:00:00,37.04,43.81,0,0001,0.006506305
1940-01-01 06:00:00,37.04,44.06,0,0001,0.0067269616
1940-01-01 06:00:00,37.04,44.31,0,0001,0.0067285113
1940-01-01 06:00:00,37.04,44.56,0,0001,0.005952578
1940-01-01 06:00:00,37.04,44.81,0,0001,0.0045424514
1940-01-01 06:00:00,36.79,43.31,0,0001,0.003452163
1940-01-01 06:00:00,36.79,43.56,0,0001,0.0041967444
1940-01-01 06:00:00,36.79,43.81,0,0001,0.0049155764
1940-01-01 06:00:00,36.79,44.06,0,0001,0.0053793006
1940-01-01 06:00:00,36.79,44.31,0,0001,0.0059243254
1940-01-01 06:00:00,36.79,44.56,0,0001,0.0062814765
1940-01-01 06:00:00,36.79,44.81,0,0001,0.006117087
