latitude,longitude,rmse_t2m,r2_t2m,rmse_tp,r2_tp
37.35,43.31,2.1674606042754463,0.9524241815162436,1.3877059771455127,0.6410967849133975
37.35,43.56,2.3307021724292816,0.9462269271659784,1.3696378081010738,0.6343174151475247
37.35,43.81,2.176438093910515,0.9537248581011666,1.394477190360274,0.6306303239687387
37.35,44.06,2.518339265079312,0.937266050238198,1.428520268213252,0.6017648920548537
37.35,44.31,2.6472550050990455,0.9263370099817673,1.2960195641305066,0.6246000333704516
37.6,43.31,2.052636033375597,0.9519278437795886,1.236840351502335,0.6148636127345349
37.6,43.56,2.098284379736679,0.9510433389738191,1.2265292375716788,0.6019585521459789
37.6,43.81,2.4392692006888548,0.9354719263890701,1.15123460637907,0.6120099161096392
37.6,44.06,2.29036304248583,0.94421977940698,1.2390591431783469,0.5501158037868163
37.6,44.31,2.68745776098056,0.9244892530789808,1.2001950806313055,0.5179965838575511
